provider_name,course_name,text_count,text_content_min,text_content_max,text_content_mean,text_content_median,text_content_std,under_five_minutes,above_five_under_ten_minutes,above_ten_under_fifteen_minutes,above_fifteen_minutes
FutureLearn,Fut-EC,25,60,420,292.8,360.0,105.81115253129039,7,18,0,0
FutureLearn,Fut-ENT,84,60,360,116.88311688311688,120.0,64.48703950284445,75,2,0,0
IxDF,IxDF-HCI,67,60,480,117.27272727272727,60.0,92.36841391982122,41,3,0,0
IxDF,IxDF-IDU,12,120,300,195.0,180.0,45.22670168666454,11,1,0,0
IxDF,IxDF-UI,70,60,1440,402.0,180.0,336.37711755913375,38,5,22,5
Udacity,Uda-CM,65,60,240,77.3076923076923,60.0,41.732828316279,52,0,0,0
Udacity,Uda-JS,82,60,240,92.45901639344262,60.0,44.59655209785162,61,0,0,0
Udacity,Uda-RWD,30,60,120,74.48275862068965,60.0,26.129650221341564,29,0,0,0
edX,edX-AS,18,60,420,190.0,120.0,132.1763527840518,11,7,0,0
edX,edX-IS,48,60,840,210.0,120.0,198.997487421324,14,5,1,0
edX,edX-PL,4,60,180,96.0,60.0,53.665631459994955,5,0,0,0
