provider_name,course_name,video_count,video_content_min,video_content_max,video_content_mean,video_content_median,video_content_std,up_to_six,six_to_twelve,more_than_twelve
FutureLearn,Fut-EC,10,29,184,109.8,118.5,55.17004017882653,10,0,0
FutureLearn,Fut-ENT,17,82,1082,272.05882352941177,181.0,246.4235354496997,14,2,1
IDF,IDF-HCI,40,168,1597,528.4242424242424,475.0,300.27904005098213,10,18,5
IDF,IDF-IDU,57,212,3704,1164.859649122807,1103.0,650.5900189881625,2,12,43
IDF,IDF-UI,7,445,768,540.8571428571429,495.0,112.60614040603141,0,6,1
Udacity,Uda-CM,60,21,357,104.2542372881356,95.0,73.07308415748957,59,0,0
Udacity,Uda-JS,65,8,288,85.81967213114754,75.0,65.93974729420825,61,0,0
Udacity,Uda-RWD,54,12,343,71.68518518518519,60.5,55.138872386713416,54,0,0
edX,edX-AS,26,169,726,389.8076923076923,331.0,163.29776954527438,14,11,1
edX,edX-IS,40,66,1127,415.0,403.0,294.2180700216639,10,10,3
edX,edX-PL,76,48,1191,336.67692307692306,303.0,217.1842613206229,39,22,4
